[01/Dec/2024 19:43:28] {'altitude': -0.5, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.2, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -0.7, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:47] {'altitude': 0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100763.2, 'target_altitude_reached': 0, 'temperature': 24, 'x_acceleration': 6.3, 'x_rotation': -96.5, 'y_acceleration': -1.5, 'y_rotation': -28.6, 'z_acceleration': 2.8, 'z_rotation': 109.3, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:47] {'altitude': 0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100763.1, 'target_altitude_reached': 0, 'temperature': 24, 'x_acceleration': -2.1, 'x_rotation': 168.8, 'y_acceleration': -1.5, 'y_rotation': -181.2, 'z_acceleration': 0.7, 'z_rotation': -228.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:49] {'altitude': 1.8, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100757.7, 'target_altitude_reached': 0, 'temperature': 24, 'x_acceleration': -3.6, 'x_rotation': -248.2, 'y_acceleration': 1, 'y_rotation': 138.6, 'z_acceleration': -0.6, 'z_rotation': 201.6, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:52] {'altitude': 1.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100759.5, 'target_altitude_reached': 0, 'temperature': 23.9, 'x_acceleration': -1.7, 'x_rotation': -86.4, 'y_acceleration': 0.4, 'y_rotation': 62, 'z_acceleration': 3.4, 'z_rotation': -22.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:55] {'altitude': 1.6, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100757.9, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.3, 'x_rotation': 62.6, 'y_acceleration': -0.6, 'y_rotation': -10.4, 'z_acceleration': 0.2, 'z_rotation': -73.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:56] {'altitude': 1.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100758, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.9, 'x_rotation': -126.3, 'y_acceleration': 0.6, 'y_rotation': -111.6, 'z_acceleration': 3.2, 'z_rotation': -16.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:57] {'altitude': 2.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100755.8, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.3, 'x_rotation': -40, 'y_acceleration': 0.3, 'y_rotation': 26.9, 'z_acceleration': 0.9, 'z_rotation': -8.5, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:58] {'altitude': 1.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100758.1, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.2, 'x_rotation': 6.7, 'y_acceleration': 0.8, 'y_rotation': 41.9, 'z_acceleration': 1.4, 'z_rotation': -42.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:44:59] {'altitude': 0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100760.9, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.1, 'x_rotation': -9.5, 'y_acceleration': 0.4, 'y_rotation': 13.9, 'z_acceleration': 1, 'z_rotation': -15, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:01] {'altitude': 2.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100754.4, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': 0.1, 'x_rotation': -85.8, 'y_acceleration': -0.1, 'y_rotation': 39.5, 'z_acceleration': 1.3, 'z_rotation': -78.5, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:01] {'altitude': 3.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100750, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': 0.5, 'x_rotation': -1.5, 'y_acceleration': -0.3, 'y_rotation': -42.1, 'z_acceleration': 0.8, 'z_rotation': 76.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:06] {'altitude': 2.6, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100754.6, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': -0.3, 'x_rotation': 0.6, 'y_acceleration': 0.1, 'y_rotation': 52.5, 'z_acceleration': 1.1, 'z_rotation': -23.7, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:07] {'altitude': 1.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100760.1, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': -0.2, 'x_rotation': -17.5, 'y_acceleration': -0.3, 'y_rotation': 40.5, 'z_acceleration': 1.2, 'z_rotation': -2.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:08] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': -0.2, 'x_rotation': -3.4, 'y_acceleration': -0.5, 'y_rotation': -2.9, 'z_acceleration': 1.1, 'z_rotation': -2.3, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:08] {'altitude': -0.5, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.2, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': 0.3, 'x_rotation': -92.7, 'y_acceleration': -0.5, 'y_rotation': 18.8, 'z_acceleration': 1.1, 'z_rotation': -16.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:09] {'altitude': -0.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.9, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': -0.1, 'x_rotation': 0.9, 'y_acceleration': 0.1, 'y_rotation': -25.4, 'z_acceleration': 1.3, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:10] {'altitude': -0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100767.4, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_acceleration': -0.2, 'x_rotation': 56.1, 'y_acceleration': 0.3, 'y_rotation': 12.5, 'z_acceleration': 1.1, 'z_rotation': 7.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:10] {'altitude': -1.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100768.2, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0.2, 'x_rotation': 39.4, 'y_acceleration': -0.2, 'y_rotation': -41.5, 'z_acceleration': 1.5, 'z_rotation': 1.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:11] {'altitude': -1.8, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100771, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.4, 'y_acceleration': 0.1, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:13] {'altitude': -1.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100770.5, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.4, 'y_acceleration': 0, 'y_rotation': 0.6, 'z_acceleration': 1.3, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:14] {'altitude': -2.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100771.9, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -0.8, 'y_acceleration': 0, 'y_rotation': 0.9, 'z_acceleration': 1.3, 'z_rotation': 1.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:15] {'altitude': -1.7, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100770.5, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0.1, 'y_rotation': 0.6, 'z_acceleration': 1.3, 'z_rotation': 0.8, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:15] {'altitude': -1.2, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100768.6, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.4, 'y_acceleration': 0.1, 'y_rotation': 0.6, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:16] {'altitude': -0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100767.3, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:17] {'altitude': -1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100767.3, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0.1, 'y_rotation': 0.7, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:17] {'altitude': -0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100768.1, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.2, 'y_acceleration': 0, 'y_rotation': 0.7, 'z_acceleration': 1.2, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:18] {'altitude': -0.6, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.4, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.5, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:19] {'altitude': -1.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100768.9, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.5, 'y_acceleration': 0, 'y_rotation': 0.7, 'z_acceleration': 1.3, 'z_rotation': 1.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:45:19] {'altitude': -1.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100768.4, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_acceleration': 0, 'x_rotation': -1.4, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
