[26/Feb/2026 17:54:35] {'temperature': 21.68, 'altitude': -1.11, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.052, 'y': 0.041, 'x': -0.202}}
[26/Feb/2026 18:25:36] {'temperature': 22.08, 'altitude': -1.41, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.061, 'x': 0.052}}
[26/Feb/2026 18:25:37] {'temperature': 22.09, 'altitude': -1.29, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40494, 'acceleration': {'z': 1.093, 'y': 0.06599999, 'x': 0.045}}
[26/Feb/2026 18:25:38] {'temperature': 22.1, 'altitude': -1.47, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.061, 'x': 0.046}}
[26/Feb/2026 18:25:39] {'temperature': 22.1, 'altitude': -1.71, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40494, 'acceleration': {'z': 1.094, 'y': 0.07, 'x': 0.044}}
[26/Feb/2026 18:25:40] {'temperature': 22.11, 'altitude': -1.19, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40494, 'acceleration': {'z': 1.095, 'y': 0.065, 'x': 0.046}}
[26/Feb/2026 18:25:41] {'temperature': 22.11, 'altitude': -1.04, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40493, 'acceleration': {'z': 1.093, 'y': 0.071, 'x': 0.044}}
[26/Feb/2026 18:25:42] {'temperature': 22.11, 'altitude': -1.04, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40493, 'acceleration': {'z': 1.095, 'y': 0.063, 'x': 0.045}}
[26/Feb/2026 18:25:43] {'temperature': 22.12, 'altitude': -0.87, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40493, 'acceleration': {'z': 1.096, 'y': 0.067, 'x': 0.044}}
[26/Feb/2026 18:25:44] {'temperature': 22.12, 'altitude': -1.43, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40492, 'acceleration': {'z': 1.095, 'y': 0.06599999, 'x': 0.049}}
[26/Feb/2026 18:25:45] {'temperature': 22.12, 'altitude': -1.61, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40492, 'acceleration': {'z': 1.088, 'y': 0.063, 'x': 0.047}}
[26/Feb/2026 18:25:46] {'temperature': 22.12, 'altitude': -1.05, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40492, 'acceleration': {'z': 1.09, 'y': 0.069, 'x': 0.044}}
[26/Feb/2026 18:25:47] {'temperature': 22.12, 'altitude': -1.09, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40492, 'acceleration': {'z': 1.088, 'y': 0.062, 'x': 0.047}}
[26/Feb/2026 18:25:48] {'temperature': 22.12, 'altitude': -1.49, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40495, 'acceleration': {'z': 1.088, 'y': 0.06800001, 'x': 0.051}}
[26/Feb/2026 18:25:49] {'temperature': 22.12, 'altitude': -1.09, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40498, 'acceleration': {'z': 1.1, 'y': 0.067, 'x': 0.044}}
[26/Feb/2026 18:25:50] {'temperature': 22.12, 'altitude': -1.09, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40499, 'acceleration': {'z': 1.101, 'y': 0.067, 'x': 0.044}}
[26/Feb/2026 18:25:51] {'temperature': 22.13, 'altitude': -1.12, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40499, 'acceleration': {'z': 1.098, 'y': 0.062, 'x': 0.042}}
[26/Feb/2026 18:25:52] {'temperature': 22.14, 'altitude': -1.55, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40499, 'acceleration': {'z': 1.096, 'y': 0.06599999, 'x': 0.047}}
[26/Feb/2026 18:25:53] {'temperature': 22.14, 'altitude': -1.57, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.405, 'acceleration': {'z': 1.087, 'y': 0.05900001, 'x': 0.042}}
[26/Feb/2026 18:25:54] {'temperature': 22.15, 'altitude': -1.42, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40501, 'acceleration': {'z': 1.104, 'y': 0.09, 'x': 0.058}}
[26/Feb/2026 18:25:55] {'temperature': 22.16, 'altitude': -2.03, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40499, 'acceleration': {'z': 1.097, 'y': 0.06, 'x': 0.04}}
[26/Feb/2026 18:25:56] {'temperature': 22.16, 'altitude': -1.7, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.405, 'acceleration': {'z': 1.094, 'y': 0.063, 'x': 0.048}}
[26/Feb/2026 18:25:57] {'temperature': 22.17, 'altitude': -1.95, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40499, 'acceleration': {'z': 1.096, 'y': 0.069, 'x': 0.047}}
[26/Feb/2026 18:25:59] {'temperature': 22.17, 'altitude': -1.54, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.091, 'y': 0.048, 'x': 0.043}}
[26/Feb/2026 18:26:00] {'temperature': 22.17, 'altitude': -1.95, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.405, 'acceleration': {'z': 0.947, 'y': 0.478, 'x': -0.079}}
[26/Feb/2026 18:26:01] {'temperature': 22.17, 'altitude': -1.72, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.405, 'acceleration': {'z': 0.95, 'y': 0.58, 'x': -0.093}}
[26/Feb/2026 18:26:02] {'temperature': 22.19, 'altitude': -1.48, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.046, 'y': 0.34, 'x': 0.073}}
[26/Feb/2026 18:26:03] {'temperature': 22.19, 'altitude': -2.06, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40498, 'acceleration': {'z': 1.059, 'y': 0.067, 'x': 0.045}}
[26/Feb/2026 18:26:04] {'temperature': 22.19, 'altitude': -2.22, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40497, 'acceleration': {'z': 1.094, 'y': 0.058, 'x': 0.056}}
[26/Feb/2026 18:26:05] {'temperature': 22.19, 'altitude': -1.87, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40496, 'acceleration': {'z': 1.1, 'y': 0.052, 'x': 0.048}}
[26/Feb/2026 18:26:06] {'temperature': 22.19, 'altitude': -1.9, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40495, 'acceleration': {'z': 1.091, 'y': 0.054, 'x': 0.05}}
[26/Feb/2026 18:26:07] {'temperature': 22.19, 'altitude': -1.87, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40494, 'acceleration': {'z': 1.095, 'y': 0.056, 'x': 0.047}}
[26/Feb/2026 18:26:08] {'temperature': 22.2, 'altitude': -1.71, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40492, 'acceleration': {'z': 1.087, 'y': 0.056, 'x': 0.051}}
[26/Feb/2026 18:26:09] {'temperature': 22.2, 'altitude': -2.12, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40491, 'acceleration': {'z': 1.093, 'y': 0.06, 'x': 0.052}}
[26/Feb/2026 18:26:10] {'temperature': 22.2, 'altitude': -2.12, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40491, 'acceleration': {'z': 1.096, 'y': 0.054, 'x': 0.051}}
[26/Feb/2026 18:26:11] {'temperature': 22.21, 'altitude': -2.34, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40488, 'acceleration': {'z': 1.089, 'y': 0.056, 'x': 0.048}}
[26/Feb/2026 18:26:12] {'temperature': 22.21, 'altitude': -1.81, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.057, 'x': 0.049}}
[26/Feb/2026 18:26:13] {'temperature': 22.21, 'altitude': -1.99, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.058, 'x': 0.052}}
[26/Feb/2026 18:26:14] {'temperature': 22.22, 'altitude': -1.44, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.101, 'y': 0.057, 'x': 0.053}}
[26/Feb/2026 18:26:15] {'temperature': 22.21, 'altitude': -1.62, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.056, 'x': 0.046}}
[26/Feb/2026 18:26:16] {'temperature': 22.22, 'altitude': -2.03, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.053, 'x': 0.043}}
[26/Feb/2026 18:26:17] {'temperature': 22.21, 'altitude': -1.44, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40486, 'acceleration': {'z': 1.095, 'y': 0.049, 'x': 0.051}}
[26/Feb/2026 18:26:18] {'temperature': 22.22, 'altitude': -1.65, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.40488, 'acceleration': {'z': 1.101, 'y': 0.05900001, 'x': 0.048}}
[26/Feb/2026 18:26:19] {'temperature': 22.23, 'altitude': -1.71, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.4049, 'acceleration': {'z': 1.097, 'y': 0.057, 'x': 0.05}}
[26/Feb/2026 18:26:20] {'temperature': 22.23, 'altitude': -1.16, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.40491, 'acceleration': {'z': 1.101, 'y': 0.06, 'x': 0.042}}
[26/Feb/2026 18:26:21] {'temperature': 22.23, 'altitude': -2.46, 'voltage': 7.4, 'latitude': 38.83584, 'longitude': -77.40493, 'acceleration': {'z': 1.093, 'y': 0.057, 'x': 0.047}}
[26/Feb/2026 18:26:22] {'temperature': 22.22, 'altitude': -1.31, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40493, 'acceleration': {'z': 1.089, 'y': 0.058, 'x': 0.054}}
[26/Feb/2026 18:26:23] {'temperature': 22.23, 'altitude': -1.53, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40493, 'acceleration': {'z': 1.09, 'y': 0.054, 'x': 0.051}}
[26/Feb/2026 18:26:24] {'temperature': 22.23, 'altitude': -1.55, 'voltage': 7.4, 'latitude': 38.83583, 'longitude': -77.40495, 'acceleration': {'z': 1.044, 'y': 0.003, 'x': -0.164}}
[26/Feb/2026 18:26:25] {'temperature': 22.24, 'altitude': -1.95, 'voltage': 7.4, 'latitude': 38.83584, 'longitude': -77.40497, 'acceleration': {'z': 1.081, 'y': -0.15, 'x': -0.085}}
[26/Feb/2026 18:26:26] {'temperature': 22.23, 'altitude': -2.1, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.07, 'y': -0.185, 'x': -0.09700001}}
[26/Feb/2026 18:26:27] {'temperature': 22.24, 'altitude': -2.5, 'voltage': 7.4, 'latitude': 38.83583, 'longitude': -77.40498, 'acceleration': {'z': 1.083, 'y': -0.13, 'x': -0.111}}
[26/Feb/2026 18:26:28] {'temperature': 22.24, 'altitude': -2.72, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40498, 'acceleration': {'z': 1.139, 'y': -0.115, 'x': -0.104}}
[26/Feb/2026 18:26:29] {'temperature': 22.24, 'altitude': -2.54, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40496, 'acceleration': {'z': 1.039, 'y': -0.327, 'x': -0.13}}
[26/Feb/2026 18:26:30] {'temperature': 22.24, 'altitude': -2.2, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40498, 'acceleration': {'z': 1.039, 'y': 0.165, 'x': -0.114}}
[26/Feb/2026 18:26:31] {'temperature': 22.23, 'altitude': -3.03, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 0.9969999, 'y': 0.025, 'x': -0.413}}
[26/Feb/2026 18:26:32] {'temperature': 22.23, 'altitude': -1.55, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40495, 'acceleration': {'z': 1.041, 'y': 0.116, 'x': -0.376}}
[26/Feb/2026 18:26:33] {'temperature': 22.24, 'altitude': -1.92, 'voltage': 7.4, 'latitude': 38.83576, 'longitude': -77.40491, 'acceleration': {'z': 1.08, 'y': 0.422, 'x': -0.248}}
[26/Feb/2026 18:26:34] {'temperature': 22.24, 'altitude': -1.95, 'voltage': 7.4, 'latitude': 38.83574, 'longitude': -77.4049, 'acceleration': {'z': 1.006, 'y': 0.235, 'x': -0.235}}
[26/Feb/2026 18:26:35] {'temperature': 22.24, 'altitude': -1.77, 'voltage': 7.4, 'latitude': 38.83572, 'longitude': -77.40488, 'acceleration': {'z': 1.007, 'y': 0.401, 'x': -0.09700001}}
[26/Feb/2026 18:26:36] {'temperature': 22.24, 'altitude': -1.8, 'voltage': 7.4, 'latitude': 38.83572, 'longitude': -77.40488, 'acceleration': {'z': 0.963, 'y': 0.444, 'x': 0.011}}
[26/Feb/2026 18:26:37] {'temperature': 22.24, 'altitude': -1.98, 'voltage': 7.4, 'latitude': 38.83573, 'longitude': -77.40491, 'acceleration': {'z': 1.049, 'y': 0.406, 'x': -0.105}}
[26/Feb/2026 18:26:38] {'temperature': 22.25, 'altitude': -2.38, 'voltage': 7.4, 'latitude': 38.83575, 'longitude': -77.40495, 'acceleration': {'z': 1.055, 'y': 0.019, 'x': -0.191}}
[26/Feb/2026 18:26:39] {'temperature': 22.25, 'altitude': -1.83, 'voltage': 7.4, 'latitude': 38.83576, 'longitude': -77.40496, 'acceleration': {'z': 1.052, 'y': 0.011, 'x': -0.163}}
[26/Feb/2026 18:26:40] {'temperature': 22.25, 'altitude': -2.22, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40494, 'acceleration': {'z': 1.035, 'y': -0.264, 'x': -0.242}}
[26/Feb/2026 18:26:41] {'temperature': 22.25, 'altitude': -1.67, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40494, 'acceleration': {'z': 1.006, 'y': -0.276, 'x': -0.208}}
[26/Feb/2026 18:26:42] {'temperature': 22.25, 'altitude': -2.02, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40491, 'acceleration': {'z': 1.022, 'y': -0.133, 'x': -0.252}}
[26/Feb/2026 18:26:43] {'temperature': 22.25, 'altitude': -2.94, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.021, 'x': -0.247}}
[26/Feb/2026 18:26:44] {'temperature': 22.25, 'altitude': -1.83, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.022, 'y': 0.077, 'x': -0.219}}
[26/Feb/2026 18:26:45] {'temperature': 22.24, 'altitude': -2.16, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40488, 'acceleration': {'z': 1.112, 'y': 0.263, 'x': -0.154}}
[26/Feb/2026 18:26:46] {'temperature': 22.24, 'altitude': -2.54, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40488, 'acceleration': {'z': 1.048, 'y': 0.332, 'x': 0.018}}
[26/Feb/2026 18:26:47] {'temperature': 22.24, 'altitude': -2.72, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40488, 'acceleration': {'z': 1.11, 'y': 0.286, 'x': 0.092}}
[26/Feb/2026 18:26:48] {'temperature': 22.25, 'altitude': -2.94, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': 0.232, 'x': 0.166}}
[26/Feb/2026 18:26:49] {'temperature': 22.24, 'altitude': -1.98, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.117, 'y': -0.136, 'x': -0.09700001}}
[26/Feb/2026 18:26:50] {'temperature': 22.25, 'altitude': -2.02, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.021, 'y': -0.405, 'x': 0.103}}
[26/Feb/2026 18:26:51] {'temperature': 22.25, 'altitude': -1.49, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.039, 'y': -0.161, 'x': 0.216}}
[26/Feb/2026 18:26:52] {'temperature': 22.26, 'altitude': -1.33, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40481, 'acceleration': {'z': 1.157, 'y': -0.271, 'x': -0.019}}
[26/Feb/2026 18:26:53] {'temperature': 22.26, 'altitude': -1.15, 'voltage': 7.4, 'latitude': 38.83586, 'longitude': -77.4048, 'acceleration': {'z': 1.04, 'y': -0.03, 'x': -0.409}}
[26/Feb/2026 18:26:54] {'temperature': 22.25, 'altitude': -1.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 0.838, 'y': -0.291, 'x': -0.616}}
[26/Feb/2026 18:26:55] {'temperature': 22.25, 'altitude': -1.49, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40479, 'acceleration': {'z': 0.692, 'y': -0.724, 'x': -0.373}}
[26/Feb/2026 18:26:56] {'temperature': 22.26, 'altitude': -1.15, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40481, 'acceleration': {'z': 0.586, 'y': -0.81, 'x': -0.009}}
[26/Feb/2026 18:26:57] {'temperature': 22.26, 'altitude': -1.33, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40482, 'acceleration': {'z': 0.9, 'y': -0.574, 'x': -0.156}}
[26/Feb/2026 18:26:58] {'temperature': 22.25, 'altitude': -1.67, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40485, 'acceleration': {'z': 0.984, 'y': -0.418, 'x': -0.222}}
[26/Feb/2026 18:26:59] {'temperature': 22.25, 'altitude': -1.45, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40487, 'acceleration': {'z': 0.984, 'y': -0.448, 'x': -0.167}}
[26/Feb/2026 18:27:00] {'temperature': 22.24, 'altitude': -1.61, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40492, 'acceleration': {'z': 1.088, 'y': -0.133, 'x': -0.041}}
[26/Feb/2026 18:27:01] {'temperature': 22.24, 'altitude': -1.8, 'voltage': 7.4, 'latitude': 38.83592, 'longitude': -77.40488, 'acceleration': {'z': 1.11, 'y': -0.004, 'x': -0.061}}
[26/Feb/2026 18:27:02] {'temperature': 22.24, 'altitude': -2.38, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40484, 'acceleration': {'z': 1.007, 'y': -0.415, 'x': -0.116}}
[26/Feb/2026 18:27:03] {'temperature': 22.25, 'altitude': -2.2, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.4048, 'acceleration': {'z': 1.029, 'y': -0.039, 'x': 0.073}}
[26/Feb/2026 18:27:04] {'temperature': 22.25, 'altitude': -1.86, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40479, 'acceleration': {'z': 0.67, 'y': 0.813, 'x': 0.318}}
[26/Feb/2026 18:27:05] {'temperature': 22.27, 'altitude': -1.91, 'voltage': 7.4, 'latitude': 38.83602, 'longitude': -77.40482, 'acceleration': {'z': 0.917, 'y': 0.131, 'x': 0.662}}
[26/Feb/2026 18:27:06] {'temperature': 22.3, 'altitude': -2.47, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40483, 'acceleration': {'z': 0.803, 'y': 0.144, 'x': 0.686}}
[26/Feb/2026 18:27:07] {'temperature': 22.29, 'altitude': -3.2, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40484, 'acceleration': {'z': 0.9639999, 'y': -0.191, 'x': -0.26}}
[26/Feb/2026 18:27:08] {'temperature': 22.3, 'altitude': -2.65, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40481, 'acceleration': {'z': 0.899, 'y': 0.002, 'x': -0.192}}
[26/Feb/2026 18:27:09] {'temperature': 22.29, 'altitude': -2.44, 'voltage': 7.4, 'latitude': 38.83604, 'longitude': -77.40479, 'acceleration': {'z': 1.077, 'y': -0.043, 'x': -0.111}}
[26/Feb/2026 18:27:10] {'temperature': 22.29, 'altitude': -2.62, 'voltage': 7.4, 'latitude': 38.83606, 'longitude': -77.40478, 'acceleration': {'z': 1.068, 'y': -0.234, 'x': 0.021}}
[26/Feb/2026 18:27:11] {'temperature': 22.29, 'altitude': -2.65, 'voltage': 7.4, 'latitude': 38.83607, 'longitude': -77.40478, 'acceleration': {'z': 1.061, 'y': -0.236, 'x': 0.011}}
[26/Feb/2026 18:27:12] {'temperature': 22.29, 'altitude': -2.07, 'voltage': 7.4, 'latitude': 38.83606, 'longitude': -77.40474, 'acceleration': {'z': 1.064, 'y': -0.236, 'x': 0.008000001}}
[26/Feb/2026 18:27:13] {'temperature': 22.29, 'altitude': -2.62, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.06, 'y': -0.231, 'x': 0.005}}
[26/Feb/2026 18:27:14] {'temperature': 22.28, 'altitude': -2.07, 'voltage': 7.4, 'latitude': 38.83606, 'longitude': -77.40472, 'acceleration': {'z': 1.049, 'y': 0.234, 'x': -0.187}}
[26/Feb/2026 18:27:15] {'temperature': 22.28, 'altitude': -1.85, 'voltage': 7.4, 'latitude': 38.83608, 'longitude': -77.40473, 'acceleration': {'z': 1.026, 'y': 0.293, 'x': -0.132}}
[26/Feb/2026 18:27:16] {'temperature': 22.29, 'altitude': -1.89, 'voltage': 7.4, 'latitude': 38.83608, 'longitude': -77.40469, 'acceleration': {'z': 1.135, 'y': 0.174, 'x': -0.137}}
[26/Feb/2026 18:27:17] {'temperature': 22.29, 'altitude': -1.7, 'voltage': 7.4, 'latitude': 38.83608, 'longitude': -77.40466, 'acceleration': {'z': 1.137, 'y': 0.24, 'x': -0.161}}
[26/Feb/2026 18:27:18] {'temperature': 22.29, 'altitude': -2.29, 'voltage': 7.4, 'latitude': 38.83605, 'longitude': -77.40465, 'acceleration': {'z': 1.047, 'y': 0.213, 'x': -0.156}}
[26/Feb/2026 18:27:19] {'temperature': 22.3, 'altitude': -2.49, 'voltage': 7.4, 'latitude': 38.83605, 'longitude': -77.40463, 'acceleration': {'z': 1.058, 'y': 0.224, 'x': -0.241}}
[26/Feb/2026 18:27:20] {'temperature': 22.3, 'altitude': -2.09, 'voltage': 7.4, 'latitude': 38.83607, 'longitude': -77.40466, 'acceleration': {'z': 1.111, 'y': 0.073, 'x': -0.219}}
[26/Feb/2026 18:31:07] {'temperature': 22.56, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 38.83646, 'longitude': -77.40517, 'acceleration': {'z': 1.047, 'y': 0.011, 'x': -0.262}}
[26/Feb/2026 18:31:08] {'temperature': 22.56, 'altitude': 0.51, 'voltage': 7.4, 'latitude': 38.83638, 'longitude': -77.40517, 'acceleration': {'z': 1.046, 'y': 0.016, 'x': -0.262}}
[26/Feb/2026 18:31:09] {'temperature': 22.56, 'altitude': 0.32, 'voltage': 7.4, 'latitude': 38.83638, 'longitude': -77.40518, 'acceleration': {'z': 1.051, 'y': 0.018, 'x': -0.262}}
[26/Feb/2026 18:31:10] {'temperature': 22.56, 'altitude': 0.51, 'voltage': 7.4, 'latitude': 38.83636, 'longitude': -77.40518, 'acceleration': {'z': 1.049, 'y': 0.023, 'x': -0.265}}
[26/Feb/2026 18:31:11] {'temperature': 22.56, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 38.83633, 'longitude': -77.40518, 'acceleration': {'z': 1.051, 'y': 0.004, 'x': -0.263}}
[26/Feb/2026 18:31:12] {'temperature': 22.56, 'altitude': -0.08, 'voltage': 7.4, 'latitude': 38.83632, 'longitude': -77.40518, 'acceleration': {'z': 1.046, 'y': 0.019, 'x': -0.259}}
[26/Feb/2026 18:31:13] {'temperature': 22.56, 'altitude': -0.08, 'voltage': 7.4, 'latitude': 38.83631, 'longitude': -77.40517, 'acceleration': {'z': 1.045, 'y': 0.016, 'x': -0.253}}
[26/Feb/2026 18:31:14] {'temperature': 22.56, 'altitude': -0.27, 'voltage': 7.4, 'latitude': 38.83631, 'longitude': -77.4052, 'acceleration': {'z': 1.04, 'y': 0.013, 'x': -0.269}}
[26/Feb/2026 18:31:15] {'temperature': 22.57, 'altitude': -0.11, 'voltage': 7.4, 'latitude': 38.83631, 'longitude': -77.40522, 'acceleration': {'z': 1.043, 'y': 0.021, 'x': -0.271}}
[26/Feb/2026 18:31:16] {'temperature': 22.57, 'altitude': -0.14, 'voltage': 7.4, 'latitude': 38.83631, 'longitude': -77.40526, 'acceleration': {'z': 1.054, 'y': 0.016, 'x': -0.267}}
[26/Feb/2026 18:31:17] {'temperature': 22.57, 'altitude': 0.04, 'voltage': 7.4, 'latitude': 38.83632, 'longitude': -77.4053, 'acceleration': {'z': 1.053, 'y': 0.017, 'x': -0.266}}
[26/Feb/2026 18:31:18] {'temperature': 22.58, 'altitude': 0.41, 'voltage': 7.4, 'latitude': 38.83631, 'longitude': -77.40531, 'acceleration': {'z': 1.048, 'y': 0.013, 'x': -0.277}}
[26/Feb/2026 18:31:19] {'temperature': 22.58, 'altitude': 0.02, 'voltage': 7.4, 'latitude': 38.83632, 'longitude': -77.40533, 'acceleration': {'z': 1.049, 'y': 0.006, 'x': -0.26}}
[26/Feb/2026 18:31:20] {'temperature': 22.58, 'altitude': 0.2, 'voltage': 7.4, 'latitude': 38.83635, 'longitude': -77.40538, 'acceleration': {'z': 1.055, 'y': 0.009, 'x': -0.234}}
[26/Feb/2026 18:31:21] {'temperature': 22.58, 'altitude': 0.18, 'voltage': 7.4, 'latitude': 38.83633, 'longitude': -77.40534, 'acceleration': {'z': 1.044, 'y': 0.009, 'x': -0.264}}
[26/Feb/2026 18:31:22] {'temperature': 22.58, 'altitude': 1.1, 'voltage': 7.4, 'latitude': 38.83633, 'longitude': -77.40534, 'acceleration': {'z': 1.055, 'y': 0.03, 'x': -0.258}}
[26/Feb/2026 18:31:23] {'temperature': 22.58, 'altitude': 0.73, 'voltage': 7.4, 'latitude': 38.83635, 'longitude': -77.40536, 'acceleration': {'z': 1.047, 'y': 0.016, 'x': -0.27}}
[26/Feb/2026 18:31:24] {'temperature': 22.58, 'altitude': -0.01, 'voltage': 7.4, 'latitude': 38.83623, 'longitude': -77.40518, 'acceleration': {'z': 1.05, 'y': 0.01, 'x': -0.264}}
[26/Feb/2026 18:31:31] {'temperature': 22.59, 'altitude': 0.15, 'voltage': 7.4, 'latitude': 38.83614, 'longitude': -77.40504, 'acceleration': {'z': 1.098, 'y': 0.055, 'x': -0.158}}
[26/Feb/2026 18:31:32] {'temperature': 22.59, 'altitude': 0.7, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40476, 'acceleration': {'z': 0.978, 'y': 0.036, 'x': -0.084}}
[26/Feb/2026 18:31:33] {'temperature': 22.59, 'altitude': 0.3, 'voltage': 7.4, 'latitude': 38.83592, 'longitude': -77.40475, 'acceleration': {'z': 1.057, 'y': 0.023, 'x': -0.234}}
[26/Feb/2026 18:31:34] {'temperature': 22.59, 'altitude': 0.89, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40474, 'acceleration': {'z': 1.057, 'y': 0.017, 'x': -0.239}}
[26/Feb/2026 18:31:35] {'temperature': 22.59, 'altitude': 0.7, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40474, 'acceleration': {'z': 1.067, 'y': 0.038, 'x': 0.042}}
[26/Feb/2026 18:31:36] {'temperature': 22.6, 'altitude': 1.23, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40476, 'acceleration': {'z': 1.128, 'y': 0.06, 'x': -0.187}}
