[19/Dec/2025 19:34:03] {'temperature': 27.04, 'altitude': -0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.095, 'x': 0.094}}
[19/Dec/2025 20:57:59] {'temperature': 27.6, 'altitude': -14.51, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.117, 'x': 0.113}}
[19/Dec/2025 20:58:01] {'temperature': 27.5, 'altitude': -0.41, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.111, 'x': 0.111}}
[19/Dec/2025 20:58:02] {'temperature': 27.46, 'altitude': -0.36, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.113, 'x': 0.111}}
[19/Dec/2025 20:58:05] {'temperature': 27.39, 'altitude': 0.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.115, 'x': 0.111}}
[19/Dec/2025 20:58:08] {'temperature': 27.38, 'altitude': 0.41, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.108, 'x': 0.111}}
[19/Dec/2025 20:58:11] {'temperature': 27.4, 'altitude': 0.15, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.111, 'x': 0.108}}
[19/Dec/2025 20:58:14] {'temperature': 27.42, 'altitude': 0.57, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.109, 'x': 0.112}}
[19/Dec/2025 20:58:17] {'temperature': 27.46, 'altitude': 0.79, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.111, 'x': 0.116}}
[19/Dec/2025 20:58:20] {'temperature': 27.52, 'altitude': 0.07, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.112, 'x': 0.105}}
[19/Dec/2025 20:58:23] {'temperature': 27.58, 'altitude': 0.71, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.112, 'x': 0.116}}
[19/Dec/2025 20:58:26] {'temperature': 27.62, 'altitude': 0.67, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.113, 'x': 0.116}}
[19/Dec/2025 20:58:29] {'temperature': 27.7, 'altitude': 1.41, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.105, 'x': 0.115}}
[19/Dec/2025 20:58:31] {'temperature': 27.79, 'altitude': 0.91, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.104, 'x': 0.107}}
[19/Dec/2025 20:58:34] {'temperature': 27.88, 'altitude': 1.18, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.118, 'x': 0.112}}
[19/Dec/2025 20:58:37] {'temperature': 27.97, 'altitude': 0.71, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.067, 'y': 0.113, 'x': 0.11}}
[19/Dec/2025 20:58:40] {'temperature': 28.06, 'altitude': 1.35, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.108, 'x': 0.112}}
[19/Dec/2025 20:58:43] {'temperature': 28.16, 'altitude': 1.45, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.109, 'x': 0.112}}
[19/Dec/2025 20:58:46] {'temperature': 28.25, 'altitude': 1.51, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.11, 'x': 0.111}}
[19/Dec/2025 20:58:49] {'temperature': 28.35, 'altitude': 2.3, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.109, 'x': 0.114}}
[19/Dec/2025 20:58:51] {'temperature': 28.48, 'altitude': 2.18, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.069, 'y': 0.108, 'x': 0.112}}
[19/Dec/2025 21:03:26] {'temperature': 32.54, 'altitude': -0.86, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.112, 'x': 0.115}}
[19/Dec/2025 21:03:29] {'temperature': 32.54, 'altitude': 0.88, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.113, 'x': 0.112}}
[19/Dec/2025 21:03:32] {'temperature': 31.65, 'altitude': -51.01, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.064, 'y': 0.099, 'x': 0.106}}
[19/Dec/2025 21:03:33] {'temperature': 31.68, 'altitude': -3.69, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.11, 'x': 0.114}}
[19/Dec/2025 21:03:34] {'temperature': 31.75, 'altitude': -3.3, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.066, 'y': 0.116, 'x': 0.112}}
[19/Dec/2025 21:03:37] {'temperature': 31.74, 'altitude': -3.4, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.07, 'y': 0.11, 'x': 0.115}}
[19/Dec/2025 21:03:40] {'temperature': 31.8, 'altitude': -4.1, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.122, 'x': 0.115}}
[19/Dec/2025 21:03:43] {'temperature': 31.88, 'altitude': -3.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.114, 'x': 0.109}}
[19/Dec/2025 21:03:46] {'temperature': 31.93, 'altitude': -3.38, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.114, 'x': 0.109}}
[19/Dec/2025 21:03:47] {'temperature': 31.91, 'altitude': -2.56, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.111, 'x': 0.115}}
[19/Dec/2025 21:03:51] {'temperature': 31.99, 'altitude': -2.34, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.114, 'x': 0.115}}
[19/Dec/2025 21:03:52] {'temperature': 31.99, 'altitude': -2.74, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.11, 'x': 0.113}}
[19/Dec/2025 21:03:56] {'temperature': 32.04, 'altitude': -3.15, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.066, 'y': 0.101, 'x': 0.115}}
[19/Dec/2025 21:04:00] {'temperature': 32.07, 'altitude': -3.09, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 21:04:03] {'temperature': 32.12, 'altitude': -3.19, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.112, 'x': 0.114}}
[19/Dec/2025 21:04:07] {'temperature': 32.17, 'altitude': -2.83, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.107, 'x': 0.112}}
[19/Dec/2025 21:04:08] {'temperature': 32.19, 'altitude': -2.37, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.121, 'x': 0.109}}
[19/Dec/2025 21:04:12] {'temperature': 32.25, 'altitude': -2.7, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.071, 'x': 0.085}}
[19/Dec/2025 21:04:16] {'temperature': 32.28, 'altitude': -2.79, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.088, 'x': 0.099}}
[19/Dec/2025 21:04:19] {'temperature': 32.3, 'altitude': -2.7, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.117, 'x': 0.114}}
[19/Dec/2025 21:04:22] {'temperature': 32.32, 'altitude': -2.82, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.114, 'x': 0.114}}
[19/Dec/2025 21:04:26] {'temperature': 32.39, 'altitude': -3.1, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.108, 'x': 0.109}}
[19/Dec/2025 21:04:30] {'temperature': 32.37, 'altitude': -2.48, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.075, 'y': 0.111, 'x': 0.11}}
[19/Dec/2025 21:04:32] {'temperature': 32.39, 'altitude': -3.51, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.104, 'x': 0.112}}
[19/Dec/2025 21:04:33] {'temperature': 32.42, 'altitude': -3.07, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.109, 'x': 0.11}}
[19/Dec/2025 21:04:36] {'temperature': 32.44, 'altitude': -3.13, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.108, 'x': 0.108}}
[19/Dec/2025 21:04:38] {'temperature': 32.51, 'altitude': -4.06, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.065, 'y': 0.111, 'x': 0.113}}
[19/Dec/2025 21:04:40] {'temperature': 32.56, 'altitude': -3.92, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.111, 'x': 0.109}}
[19/Dec/2025 21:04:43] {'temperature': 32.6, 'altitude': -3.7, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.071, 'y': 0.113, 'x': 0.115}}
[19/Dec/2025 21:04:45] {'temperature': 32.67, 'altitude': -4.79, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.111, 'x': 0.11}}
[19/Dec/2025 21:04:48] {'temperature': 32.68, 'altitude': -4.1, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.106, 'x': 0.113}}
[19/Dec/2025 21:04:50] {'temperature': 32.65, 'altitude': -4.36, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.109, 'x': 0.108}}
[19/Dec/2025 21:04:53] {'temperature': 32.66, 'altitude': -4.17, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.112, 'x': 0.108}}
[19/Dec/2025 21:04:55] {'temperature': 32.61, 'altitude': -3.98, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.078, 'y': 0.108, 'x': 0.111}}
[19/Dec/2025 21:04:58] {'temperature': 32.2, 'altitude': -4.6, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.109, 'x': 0.113}}
[19/Dec/2025 21:05:00] {'temperature': 32.27, 'altitude': -4.08, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.068, 'y': 0.11, 'x': 0.112}}
[19/Dec/2025 21:05:03] {'temperature': 32.27, 'altitude': -4.25, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.11, 'x': 0.105}}
[19/Dec/2025 21:05:06] {'temperature': 32.32, 'altitude': -4.31, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.079, 'y': 0.119, 'x': 0.11}}
[19/Dec/2025 21:05:08] {'temperature': 32.37, 'altitude': -4.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.072, 'y': 0.115, 'x': 0.114}}
[19/Dec/2025 21:05:09] {'temperature': 32.43, 'altitude': -5.18, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.081, 'y': 0.11, 'x': 0.109}}
[19/Dec/2025 21:05:12] {'temperature': 32.48, 'altitude': -3.51, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.107, 'x': 0.108}}
[19/Dec/2025 21:05:14] {'temperature': 32.54, 'altitude': -3.63, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': 0.107, 'x': 0.108}}
